,source,date,count_users,cost,profit_0_day,profit_1_day,profit_2_day,profit_3_day,visit_0_day,visit_1_day,visit_2_day,visit_3_day,sent_sex_request_btn_0_day,sent_sex_request_btn_1_day,sent_sex_request_btn_2_day,sent_sex_request_btn_3_day,accept_sex_request_btn_0_day,accept_sex_request_btn_1_day,accept_sex_request_btn_2_day,accept_sex_request_btn_3_day,livecamps_bnr_0_day,livecamps_bnr_1_day,livecamps_bnr_2_day,livecamps_bnr_3_day,chatlist_bnr_0_day,chatlist_bnr_1_day,chatlist_bnr_2_day,chatlist_bnr_3_day,chat_invite_0_day,chat_invite_1_day,chat_invite_2_day,chat_invite_3_day
42,13125.0,2019-11-21,1903,280.0,328.8,14.25,4.25,4.25,27779,5556.0,2642.0,1672.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0
43,13125.0,2019-11-22,1334,245.0,171.95,14.0,2.0,9.25,12144,2875.0,1112.0,759.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
44,13125.0,2019-11-23,1834,301.0,305.75,12.15,5.0,11.0,23447,1945.0,2220.0,2059.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0
45,13125.0,2019-11-24,1585,273.0,257.79,13.2,4.25,11.5,16603,3775.0,2634.0,2026.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
46,13125.0,2019-11-25,1449,245.0,207.05,14.0,11.0,4.0,18935,3557.0,1852.0,1175.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
47,13125.0,2019-11-26,2278,364.0,380.0,22.5,30.75,3.0,39900,4694.0,4147.0,1951.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0
48,13125.0,2019-11-27,2398,413.0,447.83,22.4,19.5,4.25,41319,6758.0,3899.0,4126.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0
49,13125.0,2019-11-28,1728,329.0,250.2,27.0,8.4,3.0,21076,4566.0,5070.0,5790.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
50,13125.0,2019-11-29,1431,189.0,249.15,18.5,0.0,0.0,18327,2387.0,1269.0,1009.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
51,13125.0,2019-11-30,2218,339.5,260.93,28.5,7.25,8.5,25031,5382.0,2999.0,2472.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0
52,13125.0,2019-12-01,2707,420.0,456.53,29.75,11.5,3.0,33470,6649.0,3799.0,2996.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0
53,13125.0,2019-12-02,2468,367.5,308.68,20.25,4.25,0.0,29591,4639.0,2054.0,198.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0
54,16675.0,2019-10-22,62,9.0,9.57,6.0,0.0,0.0,678,740.0,479.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,16675.0,2019-10-23,41,6.0,6.7,4.9,0.0,0.0,1392,1175.0,364.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,16675.0,2019-10-29,33,3.0,15.75,0.0,1.7,0.0,127,28.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,16675.0,2019-10-31,198,31.5,63.0,3.0,0.0,0.0,2615,2014.0,2242.0,2277.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,16675.0,2019-11-03,140,21.0,36.15,0.0,0.0,0.0,1734,61.0,43.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16675.0,2019-11-05,158,35.0,37.15,7.0,4.25,0.0,1565,461.0,86.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
60,16675.0,2019-11-14,6,0.0,7.5,0.0,0.0,0.0,107,30.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,16701.0,2019-09-26,253,108.0,14.9,0.0,0.0,0.0,1734,337.0,259.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,16701.0,2019-09-28,251,48.0,29.0,0.0,0.0,1.9,3054,2617.0,397.0,6834.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
